iata_code,name,latitude_deg,longitude_deg
QFG,Eqalugaarsuit Heliport,60.6197196536,-45.9140619636
GOH,Godthaab / Nuuk Airport,64.19090271,-51.6781005859
JGO,Qeqertarsuaq Heliport,69.251181993,-53.5148763657
QFI,Iginniarfik,68.1472255861,-53.1735277176
QRY,Ikerassaarsuk Heliport,68.1408810063,-53.4414589405
XIQ,Ilimanaq Heliport,69.0809150007,-51.1143153906
QJI,Ikamiut Heliport,68.6342530984,-51.8322622776
JJU,Qaqortoq Heliport,60.7156841553,-46.0299186409
JAV,Ilulissat Airport,69.2432022095,-51.0570983887
QPW,Kangaatsiaq Heliport,68.3126574861,-53.4602075815
KUS,Kulusuk Airport,65.573600769,-37.1236000061
QJE,Kitsissuarsuit Heliport,68.8579259976,-53.1232953072
JSU,Maniitsoq Airport,65.4124984741,-52.9393997192
JNN,Nanortalik Heliport,60.1418839759,-45.232976675
JNS,Narsaq Heliport,60.9172827256,-46.059923172
BGP,Bongo Airport,-2.1713,10.2088
JFR,Paamiut Airport,62.0147361755,-49.6709365845
QQT,Qeqertaq Heliport,69.9958611087,-51.3009166718
NAQ,Qaanaaq Airport,77.4886016846,-69.3887023926
OBY,Ittoqqortoormiit Heliport,70.4882288244,-21.9716799259
SFJ,Kangerlussuaq Airport,67.0122218992,-50.7116031647
QOQ,Saarloq Heliport,60.537778,-46.024722
JHS,Sisimiut Airport,66.9513015747,-53.7293014526
THU,Thule Air Base,76.5311965942,-68.7032012939
JUV,Upernavik Airport,72.7901992798,-56.1305999756
UMD,Uummannaq Heliport,70.6804279261,-52.1116304398
JQA,Qaarsut Airport,70.7341995239,-52.6962013245
BHL,Bahía de los Ángeles Airport,28.9786,-113.560997
BHT,Brighton Downs Airport,-23.3638888889,141.562777778
AEY,Akureyri Airport,65.6600036621094,-18.0727005004883
BIU,Bildudalur Airport,65.6412963867188,-23.546199798584
BGJ,Borgarfjörður eystri Airport,65.5164031982422,-13.8050003051758
BJD,Bakkafjörður Airport,66.0218963623047,-14.8243999481201
BLO,Hjaltabakki Airport,65.6449966430664,-20.2875003814697
BQD,Búðardalur Airport,65.0753021240234,-21.8003005981445
BXV,Breiðdalsvík Airport,64.7900009155273,-14.0228004455566
DJU,Djúpivogur Airport,64.6442031860352,-14.2827997207642
EGS,Egilsstaðir Airport,65.2833023071289,-14.4013996124268
FAS,Fáskrúðsfjörður Airport,64.9317016602,-14.0606002808
FAG,Fagurhólsmýri Airport,63.874698638916,-16.6410999298096
GUU,Grundarfjörður Airport,64.9914016723633,-23.2247009277344
GJR,Gjögur Airport,65.9953002929688,-21.3269004821777
GRY,Grímsey Airport,66.5458,-18.0173
HVK,Hólmavík Airport,65.7046966552734,-21.6963996887207
HFN,Hornafjörður Airport,64.295601,-15.2272
FLI,Holt Airport,66.0141804294,-23.4416913986
HZK,Húsavík Airport,65.952301,-17.426001
HVM,Krókstaðarmelar Airport,65.2664031982422,-20.8469009399414
HLO,Ingjaldssanður Airport,66.0500030517578,-23.6961002349854
IFJ,Ísafjörður Airport,66.0580978393555,-23.1352996826172
BIJ,Biliau Airport,-5.578,146.339
KEF,Keflavik International Airport,63.985000610352,-22.605600357056
OPA,Kópasker Airport,66.3107986450195,-16.4666996002197
SAK,Sauðárkrókur Airport,65.7316970825,-19.5727996826
NOR,Norðfjörður Airport,65.1318969726563,-13.7463998794556
OFJ,Ólafsfjörður Airport,66.0832977294922,-18.6667003631592
PFJ,Patreksfjörður Airport,65.555801,-23.965
RHA,Reykhólar Airport,65.4526290893555,-22.2061157226563
OLI,Rif Airport,64.9113998413,-23.8230991364
RFN,Raufarhöfn Airport,66.4064025878906,-15.9182996749878
RKV,Reykjavik Airport,64.1299972534,-21.9405994415
MVA,Reykjahlíð Airport,65.6557998657227,-16.9181003570557
SIJ,Siglufjörður Airport,66.133301,-18.9167
SYK,Stykkishólmur Airport,65.0580978393555,-22.7942008972168
TEY,Þingeyri Airport,65.8703002929688,-23.5599994659424
TLK,Tálknafjörður Airport,65.676037,-24.006114
THO,Thorshofn Airport,66.2184982299805,-15.335599899292
VEY,Vestmannaeyjar Airport,63.4243011474609,-20.2789001464844
VPN,Vopnafjörður Airport,65.7205963134766,-14.8506002426147
BIZ,Bimin Airport,-5.28611111111,142.033055556
BJE,Baleela Airport,11.1994444444,28.5230555556
BJQ,Bahja Airport,19.8730555556,56.0677777778
BJT,Bentota River Waterdrome,6.431,79.996
PRN,Priština International Airport,42.5728,21.035801
BLW,Bellows AFS (Bellows Field),21.370833,-157.713889
BMH,Bomai Airport,-6.37316666667,144.637
BMQ,Bamburi Airport,-3.98191,39.730768
BMZ,Bamu Airport,-7.8485,143.2433
BNF,Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146
BNM,Bodinumu Airport,-9.10777777778,147.666722222
BNQ,Baganga airport,7.61194444444,126.568888889
BNT,Bundi Airport,-5.74222222222,145.2275
BNV,Boana Airport,-6.433,146.825
BNZ,Banz Airport,-5.807,144.623
RBQ,Rurenabaque Airport,-14.4279003143,-67.4968032837
BVL,Baures Airport,-13.5833330154,-63.5833320618
BOF,Bolling Air Force Base,38.8428993225,-77.0160980225
BOK,Brookings Airport,42.0746,-124.290001
BOQ,Boku Airport,-6.5427,155.3419
BOT,Bosset Airport,-7.237257,141.1063222
BOV,Boang Airport,-3.3834,153.2812
BPF,Batuna Aerodrome,-8.56202777778,158.119305556
BQV,Bartlett Cove Seaplane Base,58.4552001953,-135.884994507
TUZ,Tucumã Airport,-6.7488,-51.1478
ALT,Alenquer Airport,-1.917,-54.7231
SWM,Suia-Missu Airport,-11.6716995239258,-51.434700012207
BRG,Whitesburg Municipal Airport,37.2219,-82.8742
NSB,Bimini North Seaplane Base,25.7670001983643,-79.25
BSP,Bensbach Airport,-8.85805555556,141.259444444
BSV,Besakoa Airport,-15.6725,47.0616666667
BUL,Bulolo Airport,-7.21628667141,146.649541855
BVP,Bolovip Airstrip,-5.3633,141.655
BVR,Esperadinha Airport,14.8643055556,-24.746
HUK,Hukuntsi Airport,-23.9897,21.758101
BWJ,Bawan Airport,-6.39694444444,146.881666667
BWP,Bewani Airport,-3.02166666667,141.165277778
BXL,Blue Lagoon Seaplane Base,-16.943,177.368
BXZ,Bunsil Airport,-5.7243,147.8667
BYA,Boundary Airport,64.0783004761,-141.113006592
BYL,Bella Yella Airport,7.36916666667,-9.99372222222
BYV,Beira Lake Seaplane Base,6.92944444444,79.8541666667
BCV,Belmopan Airport,17.2696,-88.776497
BGK,Big Creek Airport,16.5193691253662,-88.4079132080078
CUK,Caye Caulker Airport,17.7346992492676,-88.0325012207031
CYC,Caye Chapel Airport,17.7007999420166,-88.0410995483399
CZH,Corozal Municipal Airport,18.3822002410889,-88.4119033813477
DGA,Dangriga Airport,16.9825096130371,-88.2309875488281
INB,Independence Airport,16.5345001220703,-88.4412994384766
MDB,Melinda Airport,17.0042991638,-88.3041992188
ORZ,Orange Walk Airport,18.0467662811,-88.5838699341
PLJ,Placencia Airport,16.5369567871094,-88.3615112304688
PND,Punta Gorda Airport,16.102399826,-88.8082962036
SJX,Sartaneja Airport,18.3561000823975,-88.1307983398438
SPR,San Pedro Airport,17.9139003753662,-87.9710998535156
SQS,Matthew Spain Airport,17.1859,-89.0098
STU,Santa Cruz Airport,18.2721004486084,-88.456298828125
SVK,Silver Creek Airport,16.7252998352051,-88.3399963378906
